LSOA Code,nc_atmn_2021,nc_sprng_2021,nc_smmr_2021,nc_wntr_2021,nc_wntr_2022
E01004122,65.38,4.22,42.92,74.88,12.97
E01004123,109.61,7.07,71.96,125.53,21.74
E01004124,94.59,6.1,62.1,108.32,18.76
E01004125,75.44,4.87,49.53,86.4,14.96
E01004126,69.73,4.5,45.78,79.86,13.83
E01004127,87.75,5.66,57.61,100.5,17.4
E01004128,70.11,4.52,46.03,80.29,13.9
E01004129,92.71,5.98,60.87,106.18,18.39
E01004130,75.96,4.9,49.87,86.99,15.07
E01004131,84.43,5.45,55.43,96.69,16.75
E01004132,70.86,4.57,46.52,81.15,14.05
E01004133,68.24,4.4,44.8,78.15,13.53
E01004134,70.58,4.55,46.33,80.83,14.0
E01004135,68.47,4.42,44.95,78.42,13.58
E01004136,72.03,4.65,47.29,82.49,14.29
E01004137,97.21,6.27,63.82,111.33,19.28
E01004138,81.58,5.26,53.56,93.42,16.18
E01004139,69.73,4.5,45.78,79.86,13.83
E01004140,82.51,5.32,54.17,94.5,16.36
E01004141,80.78,5.21,53.03,92.51,16.02
E01004142,151.92,9.8,99.74,173.98,30.13
E01004143,70.06,4.52,46.0,80.24,13.9
E01004144,84.38,5.44,55.4,96.64,16.74
E01004145,106.29,6.86,69.78,121.72,21.08
E01004146,89.77,5.79,58.93,102.8,17.8
E01004147,72.36,4.67,47.5,82.86,14.35
E01004148,85.55,5.52,56.17,97.98,16.97
E01004149,90.94,5.87,59.7,104.14,18.04
E01004150,85.18,5.49,55.92,97.55,16.89
E01004151,91.12,5.88,59.82,104.36,18.07
E01004152,88.31,5.7,57.98,101.14,17.52
E01004153,92.57,5.97,60.78,106.02,18.36
E01004154,67.63,4.36,44.4,77.45,13.41
E01004155,86.02,5.55,56.47,98.52,17.06
E01004156,88.78,5.73,58.29,101.68,17.61
E01004157,57.66,3.72,37.85,66.03,11.44
E01004158,74.74,4.82,49.07,85.6,14.82
E01004159,73.67,4.75,48.36,84.37,14.61
E01004160,77.46,5.0,50.85,88.71,15.36
E01004161,73.29,4.73,48.12,83.94,14.54
E01004162,75.63,4.88,49.65,86.62,15.0
E01004163,79.23,5.11,52.02,90.74,15.71
E01004164,67.49,4.35,44.31,77.29,13.39
E01004165,86.63,5.59,56.87,99.21,17.18
E01004166,74.93,4.83,49.19,85.81,14.86
E01004167,68.28,4.4,44.83,78.2,13.54
E01004168,74.04,4.78,48.61,84.79,14.68
E01004169,79.89,5.15,52.45,91.49,15.84
E01004170,107.83,6.96,70.79,123.49,21.39
E01004171,74.04,4.78,48.61,84.79,14.68
E01004172,88.5,5.71,58.1,101.36,17.55
E01004173,62.01,4.0,40.71,71.02,12.3
E01004174,72.59,4.68,47.66,83.13,14.4
E01004175,83.35,5.38,54.72,95.46,16.53
E01004176,72.73,4.69,47.75,83.29,14.42
E01004177,95.33,6.15,62.59,109.18,18.91
E01004178,115.65,7.46,75.92,132.44,22.94
E01004179,76.15,4.91,49.99,87.21,15.1
E01004180,79.61,5.13,52.26,91.17,15.79
E01004181,80.55,5.2,52.88,92.24,15.97
E01004182,79.75,5.14,52.36,91.33,15.82
E01004183,83.54,5.39,54.85,95.68,16.57
E01004184,80.22,5.17,52.66,91.87,15.91
E01004185,77.22,4.98,50.7,88.44,15.32
E01004186,84.2,5.43,55.28,96.43,16.7
E01004187,76.99,4.97,50.54,88.17,15.27
E01004188,114.24,7.37,75.0,130.84,22.66
E01004189,95.85,6.18,62.93,109.77,19.01
E01004190,64.96,4.19,42.65,74.4,12.88
E01004191,91.92,5.93,60.35,105.27,18.23
E01004192,95.1,6.13,62.44,108.91,18.86
E01004193,146.77,9.47,96.36,168.09,29.11
E01004194,76.38,4.93,50.14,87.47,15.15
E01004195,83.77,5.4,55.0,95.94,16.62
E01004196,73.15,4.72,48.02,83.78,14.51
E01004197,88.59,11.28,108.46,203.26,20.3
E01004198,42.94,5.47,52.57,98.51,9.84
E01004199,47.52,6.05,58.17,109.02,10.89
E01004200,45.76,5.83,56.02,104.99,10.49
E01004201,47.25,6.02,57.85,108.41,10.83
E01004202,54.7,6.96,66.97,125.51,12.54
E01004203,50.95,6.49,62.38,116.9,11.68
E01004204,51.43,6.55,62.96,118.0,11.79
E01004205,64.02,8.15,78.38,146.89,14.67
E01004206,40.33,5.13,49.37,92.53,9.24
E01004207,40.62,5.17,49.73,93.2,9.31
E01004208,71.37,9.09,87.37,163.74,16.35
E01004209,39.29,5.0,48.1,90.15,9.0
E01004211,46.08,5.87,56.41,105.72,10.56
E01004212,72.67,9.25,88.97,166.73,16.65
E01004214,47.14,6.0,57.72,108.16,10.8
E01004215,126.98,16.16,155.46,291.33,29.1
E01004216,54.33,6.92,66.52,124.65,12.45
E01004217,61.52,7.83,75.32,141.14,14.1
E01004218,53.56,6.82,65.57,122.88,12.27
E01004219,67.11,8.54,82.16,153.97,15.38
E01004221,60.16,7.66,73.65,138.03,13.79
E01004222,80.26,10.22,98.26,184.14,18.39
E01004223,66.84,8.51,81.83,153.36,15.32
E01004224,84.92,10.81,103.96,194.83,19.46
E01004225,77.94,9.92,95.42,178.83,17.86
E01004226,68.6,8.73,83.99,157.39,15.72
E01004228,58.3,7.42,71.37,133.75,13.36
E01004229,44.03,5.61,53.9,101.02,10.09
E01004230,61.2,7.79,74.93,140.41,14.02
E01004231,51.99,6.62,63.65,119.28,11.91
E01004232,50.98,6.49,62.41,116.96,11.68
E01004233,61.57,7.84,75.38,141.27,14.11
E01004234,60.83,7.74,74.47,139.56,13.94
E01004235,35.22,4.48,43.12,80.8,8.07
E01004236,44.83,5.71,54.88,102.85,10.27
E01004237,42.38,5.4,51.88,97.23,9.71
E01004238,142.82,18.18,174.85,327.67,32.73
E01004239,46.96,5.98,57.49,107.74,10.76
E01004240,50.55,6.44,61.89,115.98,11.58
E01004241,49.03,6.24,60.03,112.5,11.24
E01004242,158.73,20.21,194.34,364.19,36.37
E01004243,34.53,4.4,42.27,79.21,7.91
E01004244,59.04,7.52,72.29,135.46,13.53
E01004245,58.08,7.39,71.11,133.27,13.31
E01004246,87.23,11.11,106.8,200.14,19.99
E01004247,73.6,9.37,90.11,168.87,16.87
E01004248,50.82,6.47,62.22,116.59,11.64
E01004249,68.71,8.75,84.12,157.63,15.74
E01004250,76.51,9.74,93.66,175.53,17.53
E01004251,72.11,9.18,88.29,165.45,16.52
E01004252,93.92,11.96,114.98,215.47,21.52
E01004253,97.75,12.44,119.67,224.27,22.4
E01004254,93.62,11.92,114.62,214.8,21.45
E01004255,48.66,6.19,59.58,111.65,11.15
E01004256,51.91,6.61,63.55,119.1,11.89
