LSOA Code,nc_atmn_2021,nc_sprng_2021,nc_smmr_2021,nc_wntr_2021,nc_wntr_2022
E01000006,63.13,8.44,52.22,167.46,14.12
E01000007,80.64,10.79,66.69,213.89,18.03
E01000008,47.54,6.36,39.32,126.09,10.63
E01000009,58.42,7.81,48.32,154.96,13.07
E01000010,108.85,14.56,90.03,288.72,24.34
E01000011,52.28,6.99,43.24,138.66,11.69
E01000012,70.74,9.46,58.51,187.63,15.82
E01000013,55.02,7.36,45.51,145.94,12.31
E01000014,50.7,6.78,41.93,134.47,11.34
E01000015,71.42,9.55,59.07,189.45,15.97
E01000016,51.86,6.94,42.89,137.56,11.6
E01000017,44.85,6.0,37.1,118.97,10.03
E01000018,51.41,6.88,42.52,136.37,11.5
E01000019,45.63,6.1,37.74,121.02,10.2
E01000020,56.12,7.51,46.42,148.87,12.55
E01000021,52.28,6.99,43.24,138.66,11.69
E01000022,43.03,5.76,35.59,114.14,9.62
E01000023,115.08,15.39,95.18,305.25,25.74
E01000024,45.78,6.12,37.86,121.42,10.24
E01000025,49.92,6.68,41.29,132.41,11.16
E01000027,54.54,7.3,45.11,144.68,12.2
E01000028,50.64,6.77,41.88,134.31,11.32
E01000029,53.8,7.2,44.5,142.7,12.03
E01000030,71.42,9.55,59.07,189.45,15.97
E01000031,52.99,7.09,43.83,140.56,11.85
E01000032,58.45,7.82,48.34,155.04,13.07
E01000033,47.21,6.31,39.05,125.22,10.56
E01000034,48.73,6.52,40.3,129.25,10.9
E01000035,55.32,7.4,45.75,146.73,12.37
E01000036,43.93,5.88,36.33,116.52,9.82
E01000037,55.8,7.46,46.15,148.0,12.48
E01000038,42.41,5.67,35.07,112.48,9.48
E01000039,51.26,6.86,42.4,135.97,11.46
E01000040,53.74,7.19,44.45,142.54,12.02
E01000041,53.98,7.22,44.64,143.17,12.07
E01000042,60.33,8.07,49.9,160.02,13.49
E01000043,45.69,6.11,37.79,121.18,10.22
E01000044,61.31,8.2,50.71,162.63,13.71
E01000045,53.8,7.2,44.5,142.7,12.03
E01000046,57.7,7.72,47.73,153.06,12.91
E01000048,26.18,3.5,21.66,69.45,5.86
E01000049,54.07,7.23,44.72,143.41,12.09
E01000050,58.87,7.87,48.69,156.14,13.17
E01000051,30.45,4.07,25.18,80.76,6.81
E01000052,68.77,9.2,56.88,182.41,15.38
E01000053,48.52,6.49,40.13,128.7,10.85
E01000054,58.3,7.8,48.22,154.64,13.04
E01000055,50.97,6.82,42.15,135.18,11.4
E01000056,49.53,6.63,40.97,131.39,11.08
E01000057,46.37,6.2,38.35,123.0,10.37
E01000058,60.45,8.09,50.0,160.34,13.52
E01000059,49.38,6.61,40.85,130.99,11.04
E01000060,58.78,7.86,48.62,155.91,13.15
E01000061,55.83,7.47,46.17,148.08,12.49
E01000062,72.62,9.71,60.06,192.61,16.24
E01000063,54.72,7.32,45.26,145.15,12.24
E01000064,66.05,8.83,54.63,175.21,14.77
E01000065,53.11,7.1,43.93,140.88,11.88
E01000066,67.52,9.03,55.84,179.08,15.1
E01000067,68.71,9.19,56.83,182.25,15.37
E01000068,46.82,6.26,38.72,124.19,10.47
E01000069,57.29,7.66,47.38,151.95,12.81
E01000070,66.38,8.88,54.9,176.08,14.85
E01000071,79.33,10.61,65.61,210.41,17.74
E01000072,64.18,8.58,53.08,170.22,14.35
E01000073,51.95,6.95,42.97,137.79,11.62
E01000074,49.15,6.57,40.65,130.36,10.99
E01000075,56.75,7.59,46.94,150.53,12.69
E01000076,64.44,8.62,53.3,170.94,14.41
E01000077,47.3,6.33,39.12,125.45,10.58
E01000078,56.9,7.61,47.06,150.92,12.73
E01000079,53.05,7.1,43.88,140.72,11.87
E01000080,48.37,6.47,40.01,128.3,10.82
E01000081,56.15,7.51,46.44,148.95,12.56
E01000082,62.27,8.33,51.5,165.16,13.93
E01000083,58.33,7.8,48.25,154.72,13.05
E01000084,42.17,5.64,34.88,111.85,9.43
E01000085,56.06,7.5,46.37,148.71,12.54
E01000086,43.87,5.87,36.28,116.36,9.81
E01000087,48.82,6.53,40.38,129.49,10.92
E01000088,63.49,8.49,52.51,168.41,14.2
E01000089,56.03,7.49,46.35,148.63,12.53
E01000090,52.19,6.98,43.16,138.43,11.67
E01000091,62.03,8.3,51.3,164.53,13.87
E01000092,180.57,24.15,149.35,478.95,40.38
E01000093,53.35,7.14,44.13,141.51,11.93
E01000094,69.36,9.28,57.37,183.99,15.51
E01000095,55.35,7.4,45.78,146.81,12.38
E01000096,55.41,7.41,45.83,146.97,12.39
E01000097,53.68,7.18,44.4,142.38,12.01
E01000098,53.83,7.2,44.52,142.78,12.04
E01000099,74.17,9.92,61.34,196.72,16.59
E01000100,53.05,7.1,43.88,140.72,11.87
E01000101,46.79,6.26,38.7,124.11,10.46
E01000102,45.9,6.14,37.96,121.74,10.26
E01000103,51.32,6.86,42.45,136.13,11.48
E01000104,60.09,8.04,49.7,159.39,13.44
E01000105,69.48,9.29,57.47,184.3,15.54
E01000106,65.13,8.71,53.87,172.76,14.57
E01000107,52.99,7.09,43.83,140.56,11.85
E01000108,56.93,7.61,47.09,151.0,12.73
E01000109,85.41,11.42,70.64,226.54,19.1
E01000110,44.28,5.92,36.63,117.46,9.9
E01000111,61.37,8.21,50.76,162.79,13.73
E01000112,63.58,8.5,52.59,168.64,14.22
E01000113,54.69,7.32,45.24,145.07,12.23
E01000114,74.35,9.94,61.49,197.2,16.63
E01000115,53.47,3.99,36.97,68.3,8.36
E01000116,69.8,5.2,48.27,89.16,10.91
E01000117,72.6,5.41,50.21,92.74,11.35
E01000118,87.92,6.56,60.8,112.31,13.74
E01000119,71.18,5.31,49.22,90.92,11.13
E01000120,59.43,4.43,41.1,75.91,9.29
E01000121,59.3,4.42,41.01,75.75,9.27
E01000122,58.33,4.35,40.34,74.51,9.12
E01000123,72.15,5.38,49.9,92.17,11.28
E01000124,72.28,5.39,49.98,92.32,11.3
E01000125,134.05,10.0,92.7,171.23,20.95
E01000126,90.43,6.74,62.54,115.52,14.14
E01000127,63.24,4.72,43.73,80.77,9.88
E01000128,80.46,6.0,55.64,102.78,12.58
E01000129,75.68,5.64,52.34,96.67,11.83
E01000130,73.13,5.45,50.57,93.41,11.43
E01000131,83.38,6.22,57.66,106.51,13.03
E01000132,64.09,4.78,44.32,81.86,10.02
E01000133,67.82,5.06,46.9,86.63,10.6
E01000134,70.65,5.27,48.86,90.25,11.04
E01000135,70.94,5.29,49.06,90.61,11.09
E01000136,66.84,4.98,46.22,85.38,10.45
E01000137,68.46,5.11,47.35,87.45,10.7
E01000138,64.45,4.81,44.57,82.33,10.07
E01000139,66.15,4.93,45.75,84.5,10.34
E01000140,87.92,6.56,60.8,112.31,13.74
E01000141,91.53,6.82,63.3,116.92,14.31
E01000142,109.0,8.13,75.38,139.23,17.04
E01000143,63.2,4.71,43.7,80.72,9.88
E01000144,72.88,5.43,50.4,93.1,11.39
E01000145,70.37,5.25,48.66,89.89,11.0
E01000146,88.37,6.59,61.11,112.88,13.81
E01000147,76.45,5.7,52.87,97.65,11.95
E01000148,128.9,9.61,89.14,164.66,20.15
E01000150,90.76,6.77,62.76,115.93,14.19
E01000151,71.59,5.34,49.5,91.44,11.19
E01000152,82.77,6.17,57.24,105.73,12.94
E01000153,71.63,5.34,49.53,91.49,11.2
E01000154,71.55,5.33,49.48,91.39,11.18
E01000155,212.24,15.83,146.78,271.11,33.17
E01000156,88.98,6.63,61.53,113.65,13.91
E01000157,67.33,5.02,46.56,86.0,10.52
E01000158,60.48,4.51,41.82,77.25,9.45
E01000159,73.33,5.47,50.71,93.67,11.46
E01000160,90.88,6.78,62.85,116.09,14.2
E01000161,98.62,7.35,68.2,125.98,15.41
E01000162,65.79,4.91,45.5,84.04,10.28
E01000163,70.13,5.23,48.5,89.58,10.96
E01000164,73.05,5.45,50.51,93.3,11.42
E01000165,75.52,5.63,52.22,96.46,11.8
E01000166,65.63,4.89,45.38,83.83,10.26
E01000167,52.86,3.94,36.55,67.52,8.26
E01000168,63.6,4.74,43.98,81.24,9.94
E01000169,66.48,4.96,45.97,84.92,10.39
E01000170,75.92,5.66,52.5,96.98,11.87
E01000171,98.14,7.32,67.87,125.36,15.34
E01000172,73.49,5.48,50.82,93.87,11.49
E01000173,71.75,5.35,49.62,91.65,11.21
E01000174,79.94,5.96,55.28,102.11,12.49
E01000175,60.76,4.53,42.02,77.62,9.5
E01000176,68.14,5.08,47.12,87.04,10.65
E01000177,73.25,5.46,50.65,93.56,11.45
E01000178,73.21,5.46,50.63,93.51,11.44
E01000179,74.02,5.52,51.19,94.55,11.57
E01000180,71.18,5.31,49.22,90.92,11.13
E01000181,74.22,5.53,51.33,94.81,11.6
E01000182,78.88,5.88,54.55,100.76,12.33
E01000183,67.21,5.01,46.48,85.85,10.5
E01000184,71.18,5.31,49.22,90.92,11.13
E01000185,61.01,4.55,42.19,77.93,9.54
E01000186,70.29,5.24,48.61,89.78,10.99
E01000187,70.69,5.27,48.89,90.3,11.05
E01000188,63.92,4.77,44.21,81.65,9.99
E01000189,92.34,6.89,63.86,117.95,14.43
E01000190,71.22,5.31,49.25,90.97,11.13
E01000191,64.37,4.8,44.51,82.22,10.06
E01000192,87.92,6.56,60.8,112.31,13.74
E01000193,85.04,6.34,58.81,108.63,13.29
E01000194,83.67,6.24,57.86,106.87,13.08
E01000195,81.23,6.06,56.18,103.76,12.7
E01000196,94.53,7.05,65.37,120.75,14.77
E01000197,83.67,6.24,57.86,106.87,13.08
E01000198,91.08,6.79,62.99,116.35,14.24
E01000199,66.6,4.97,46.06,85.07,10.41
E01000200,84.8,6.32,58.64,108.32,13.25
E01000201,68.1,5.08,47.09,86.99,10.64
E01000202,74.75,5.57,51.69,95.48,11.68
E01000203,82.45,6.15,57.02,105.32,12.89
E01000204,77.26,5.76,53.43,98.69,12.08
E01000205,69.8,5.2,48.27,89.16,10.91
E01000206,64.05,4.78,44.29,81.81,10.01
E01000207,67.25,5.01,46.51,85.9,10.51
E01000208,69.07,5.15,47.77,88.23,10.8
E01000209,61.13,4.56,42.27,78.08,9.55
E01000210,66.6,4.97,46.06,85.07,10.41
E01000211,91.93,6.86,63.58,117.43,14.37
E01000212,61.37,4.58,42.44,78.39,9.59
E01000213,57.07,4.26,39.47,72.9,8.92
E01000214,77.38,5.77,53.51,98.85,12.09
E01000215,94.45,7.04,65.31,120.64,14.76
E01000216,86.79,6.47,60.02,110.86,13.56
E01000217,75.4,5.62,52.14,96.31,11.78
E01000218,86.02,6.41,59.48,109.87,13.44
E01000219,85.49,6.37,59.12,109.2,13.36
E01000220,86.42,6.44,59.76,110.39,13.51
E01000221,53.39,3.98,36.92,68.19,8.34
E01000222,80.06,5.97,55.36,102.26,12.51
E01000223,71.26,5.31,49.28,91.03,11.14
E01000224,71.3,5.32,49.31,91.08,11.14
E01000225,81.76,6.1,56.54,104.44,12.78
E01000226,73.0,5.44,50.49,93.25,11.41
E01000227,79.21,5.91,54.77,101.18,12.38
E01000228,61.49,4.59,42.52,78.55,9.61
E01000229,71.22,5.31,49.25,90.97,11.13
E01000230,82.45,6.15,57.02,105.32,12.89
E01000231,80.54,6.01,55.7,102.88,12.59
E01000232,80.38,5.99,55.59,102.68,12.56
E01000233,77.22,5.76,53.4,98.64,12.07
E01000234,76.45,5.7,52.87,97.65,11.95
E01000235,78.6,5.86,54.35,100.4,12.28
E01000236,84.96,6.34,58.76,108.53,13.28
E01000237,90.52,6.75,62.6,115.62,14.15
E01000238,84.52,6.3,58.45,107.96,13.21
E01000239,84.27,6.28,58.28,107.65,13.17
E01000240,71.1,5.3,49.17,90.82,11.11
E01000241,72.52,5.41,50.15,92.63,11.33
E01000242,67.37,5.02,46.59,86.06,10.53
E01000243,83.91,6.26,58.03,107.18,13.11
E01000244,66.44,4.95,45.94,84.87,10.38
E01000245,89.42,6.67,61.84,114.22,13.98
E01000246,61.9,4.62,42.81,79.07,9.67
E01000247,70.82,5.28,48.97,90.46,11.07
E01000248,71.63,5.34,49.53,91.49,11.2
E01000249,61.29,4.57,42.38,78.29,9.58
E01000250,113.22,8.44,78.29,144.62,17.7
E01000251,86.06,6.42,59.51,109.93,13.45
E01000252,68.67,5.12,47.49,87.71,10.73
E01000253,70.33,5.24,48.64,89.84,10.99
E01000254,65.87,4.91,45.55,84.14,10.3
E01000255,59.71,4.45,41.29,76.27,9.33
E01000256,76.13,5.68,52.64,97.24,11.9
E01000257,80.67,6.01,55.78,103.04,12.61
E01000258,77.63,5.79,53.68,99.16,12.13
E01000259,112.89,8.42,78.07,144.2,17.65
E01000260,91.16,6.8,63.04,116.45,14.25
E01000261,70.9,5.29,49.03,90.56,11.08
E01000262,133.2,9.93,92.11,170.14,20.82
E01000263,64.05,4.78,44.29,81.81,10.01
E01000264,74.18,5.53,51.3,94.75,11.59
E01000265,86.5,6.45,59.82,110.5,13.52
E01000266,58.86,4.39,40.7,75.18,9.2
E01000267,64.74,4.83,44.77,82.69,10.12
E01000268,93.35,6.96,64.56,119.25,14.59
E01000269,58.25,4.34,40.28,74.41,9.1
E01000270,60.88,4.54,42.1,77.77,9.52
E01000271,64.13,4.78,44.35,81.91,10.02
E01000272,59.1,4.41,40.87,75.49,9.24
E01000273,66.88,4.99,46.25,85.43,10.45
E01000274,82.0,6.11,56.71,104.75,12.82
E01000275,70.86,5.28,49.0,90.51,11.07
E01000276,64.13,4.78,44.35,81.91,10.02
E01000277,87.35,6.51,60.41,111.58,13.65
E01000278,67.57,5.04,46.73,86.31,10.56
E01000279,58.37,4.35,40.37,74.56,9.12
E01000280,53.14,3.96,36.75,67.88,8.31
E01000281,65.14,4.86,45.05,83.21,10.18
E01000282,74.34,5.54,51.41,94.96,11.62
E01000283,59.3,4.42,41.01,75.75,9.27
E01000284,73.13,5.45,50.57,93.41,11.43
E01000285,56.22,4.19,38.88,71.82,8.79
E01000286,69.84,5.21,48.3,89.21,10.92
E01000287,64.13,4.78,44.35,81.91,10.02
E01000288,63.52,4.74,43.93,81.14,9.93
E01000289,66.96,4.99,46.31,85.54,10.47
E01000290,65.38,4.88,45.22,83.52,10.22
E01000291,64.05,4.78,44.29,81.81,10.01
E01000292,66.03,4.92,45.66,84.35,10.32
E01000293,71.67,5.34,49.56,91.54,11.2
E01000294,75.27,5.61,52.06,96.15,11.77
E01000295,71.71,5.35,49.59,91.6,11.21
E01000296,75.36,5.62,52.11,96.26,11.78
E01000297,62.99,4.7,43.56,80.46,9.85
E01000298,81.36,6.07,56.26,103.92,12.72
E01000299,92.54,6.9,64.0,118.21,14.46
E01000300,71.46,5.33,49.42,91.29,11.17
E01000301,65.99,4.92,45.64,84.3,10.31
E01000302,83.5,6.23,57.75,106.66,13.05
E01000303,72.07,5.37,49.84,92.06,11.26
E01000304,67.65,5.04,46.79,86.42,10.57
E01000305,68.34,5.1,47.26,87.3,10.68
E01000306,68.71,5.12,47.51,87.76,10.74
E01000307,70.17,5.23,48.52,89.63,10.97
E01000308,88.37,6.59,61.11,112.88,13.81
E01000309,82.41,6.14,56.99,105.27,12.88
E01000310,90.8,6.77,62.79,115.98,14.19
E01000311,77.14,5.75,53.35,98.53,12.06
E01000312,73.61,5.49,50.91,94.03,11.51
E01000313,92.62,6.91,64.05,118.31,14.48
E01000314,86.38,6.44,59.74,110.34,13.5
E01000315,70.69,5.27,48.89,90.3,11.05
E01000316,102.47,7.64,70.87,130.9,16.02
E01000317,73.82,5.5,51.05,94.29,11.54
E01000318,76.86,5.73,53.15,98.17,12.01
E01000319,63.92,4.77,44.21,81.65,9.99
E01000320,77.42,5.77,53.54,98.9,12.1
E01000321,77.14,5.75,53.35,98.53,12.06
E01000322,75.56,5.63,52.25,96.52,11.81
E01000323,100.65,7.5,69.6,128.57,15.73
E01000324,75.03,5.59,51.89,95.84,11.73
E01000325,60.84,5.17,46.95,104.33,12.37
E01000326,50.36,4.28,38.86,86.36,10.24
E01000327,61.25,5.2,47.26,105.02,12.45
E01000328,54.73,4.65,42.24,93.85,11.13
E01000329,61.07,5.19,47.12,104.71,12.42
E01000330,60.07,5.1,46.35,102.99,12.21
E01000331,64.77,5.5,49.98,111.06,13.17
E01000332,59.07,5.02,45.58,101.28,12.01
E01000333,71.17,6.04,54.92,122.04,14.47
E01000334,61.69,5.24,47.61,105.79,12.54
E01000335,101.47,8.62,78.3,173.98,20.63
E01000336,79.06,6.71,61.01,135.57,16.07
E01000337,66.14,5.62,51.04,113.41,13.45
E01000338,73.99,6.28,57.09,126.87,15.04
E01000339,58.21,4.94,44.92,99.82,11.84
E01000340,54.88,4.66,42.35,94.1,11.16
E01000341,57.88,4.92,44.66,99.25,11.77
E01000342,59.99,5.09,46.29,102.87,12.2
E01000343,57.95,4.92,44.72,99.37,11.78
E01000344,58.77,4.99,45.35,100.77,11.95
E01000345,49.1,4.17,37.89,84.2,9.98
E01000346,60.77,5.16,46.89,104.2,12.36
E01000347,54.88,4.66,42.35,94.1,11.16
E01000348,56.99,4.84,43.98,97.72,11.59
E01000349,60.66,5.15,46.81,104.01,12.33
E01000350,56.51,4.8,43.61,96.9,11.49
E01000351,60.4,5.13,46.61,103.56,12.28
E01000352,63.77,5.42,49.21,109.34,12.97
E01000353,62.29,5.29,48.06,106.8,12.66
E01000354,56.07,4.76,43.26,96.14,11.4
E01000355,58.62,4.98,45.24,100.52,11.92
E01000356,58.51,4.97,45.15,100.33,11.9
E01000357,54.33,4.61,41.92,93.15,11.05
E01000358,63.03,5.35,48.64,108.07,12.81
E01000359,45.85,3.89,35.38,78.61,9.32
E01000360,72.25,6.14,55.75,123.88,14.69
E01000361,60.03,5.1,46.32,102.93,12.2
E01000362,61.14,5.19,47.18,104.83,12.43
E01000363,58.51,4.97,45.15,100.33,11.9
E01000364,62.47,5.31,48.21,107.12,12.7
E01000365,67.99,5.77,52.47,116.58,13.82
E01000366,63.62,5.4,49.09,109.09,12.93
E01000367,81.32,6.91,62.75,139.44,16.53
E01000368,61.25,5.2,47.26,105.02,12.45
E01000369,63.95,5.43,49.35,109.66,13.0
E01000370,59.44,5.05,45.86,101.91,12.08
E01000371,59.81,5.08,46.15,102.55,12.16
E01000372,59.92,5.09,46.24,102.74,12.18
E01000373,53.07,4.51,40.95,90.99,10.79
E01000374,61.73,5.24,47.64,105.85,12.55
E01000375,80.06,6.8,61.78,137.28,16.28
E01000376,60.14,5.11,46.41,103.12,12.23
E01000377,54.73,4.65,42.24,93.85,11.13
E01000378,111.13,9.44,85.76,190.56,22.59
E01000379,67.25,5.71,51.89,115.31,13.67
E01000380,64.62,5.49,49.86,110.8,13.14
E01000381,63.55,5.4,49.04,108.96,12.92
E01000382,57.07,4.85,44.04,97.85,11.6
E01000383,56.55,4.8,43.64,96.96,11.5
E01000384,63.4,5.38,48.92,108.71,12.89
E01000385,74.4,6.32,57.41,127.57,15.13
E01000386,55.77,4.74,43.04,95.63,11.34
E01000387,59.36,5.04,45.81,101.79,12.07
E01000388,56.84,4.83,43.86,97.47,11.56
E01000389,65.58,5.57,50.61,112.45,13.33
E01000390,47.73,4.05,36.83,81.85,9.7
E01000391,64.62,5.49,49.86,110.8,13.14
E01000392,79.73,6.77,61.52,136.71,16.21
E01000393,64.1,5.44,49.46,109.91,13.03
E01000394,61.58,5.23,47.52,105.6,12.52
E01000395,56.81,4.82,43.84,97.41,11.55
E01000396,50.33,4.27,38.83,86.29,10.23
E01000398,60.47,5.14,46.66,103.69,12.29
E01000399,58.88,5.0,45.44,100.96,11.97
E01000400,58.95,5.01,45.49,101.09,11.99
E01000401,66.77,5.67,51.52,114.49,13.57
E01000402,58.92,5.0,45.46,101.02,11.98
E01000403,86.58,7.35,66.81,148.46,17.6
E01000404,93.76,7.96,72.35,160.78,19.06
E01000405,58.14,4.94,44.86,99.69,11.82
E01000406,76.58,6.5,59.09,131.31,15.57
E01000407,62.88,5.34,48.52,107.82,12.78
E01000408,69.51,5.9,53.64,119.18,14.13
E01000409,64.81,5.5,50.01,111.12,13.18
E01000410,61.66,5.24,47.58,105.72,12.54
E01000411,54.1,4.59,41.75,92.77,11.0
E01000412,67.32,5.72,51.95,115.44,13.69
E01000413,50.62,4.3,39.06,86.8,10.29
E01000414,73.91,6.28,57.04,126.74,15.03
E01000415,53.73,4.56,41.46,92.13,10.92
E01000416,64.73,5.5,49.95,110.99,13.16
E01000417,67.55,5.74,52.12,115.82,13.73
E01000418,77.8,6.61,60.04,133.41,15.82
E01000419,50.44,4.28,38.92,86.48,10.25
E01000420,57.21,4.86,44.15,98.1,11.63
E01000421,55.1,4.68,42.52,94.48,11.2
E01000422,56.88,4.83,43.89,97.53,11.56
E01000423,60.58,5.14,46.75,103.88,12.32
E01000424,61.88,5.25,47.75,106.1,12.58
E01000425,64.36,5.47,49.66,110.36,13.09
E01000426,59.32,5.04,45.78,101.72,12.06
E01000427,81.99,6.96,63.27,140.58,16.67
E01000428,69.1,5.87,53.32,118.49,14.05
E01000429,64.88,5.51,50.06,111.25,13.19
E01000430,84.51,7.18,65.21,144.9,17.18
E01000431,52.47,4.46,40.49,89.98,10.67
E01000432,97.5,8.28,75.24,167.19,19.82
E01000433,76.47,6.49,59.01,131.12,15.55
E01000434,65.77,5.59,50.75,112.77,13.37
E01000435,54.21,4.6,41.84,92.96,11.02
E01000436,66.32,5.63,51.18,113.72,13.48
E01000437,49.7,4.22,38.35,85.21,10.1
E01000438,63.73,5.41,49.18,109.28,12.96
E01000439,51.81,4.4,39.98,88.83,10.53
E01000440,52.47,4.46,40.49,89.98,10.67
E01000441,63.51,5.39,49.01,108.9,12.91
E01000442,60.44,5.13,46.64,103.63,12.29
E01000443,48.96,4.16,37.78,83.94,9.95
E01000444,61.81,5.25,47.69,105.98,12.57
E01000445,60.25,5.12,46.49,103.31,12.25
E01000446,58.69,4.98,45.29,100.64,11.93
E01000447,70.51,5.99,54.41,120.9,14.34
E01000448,48.77,4.14,37.63,83.63,9.92
E01000449,53.77,4.57,41.49,92.2,10.93
E01000450,68.84,5.85,53.12,118.04,14.0
E01000451,64.66,5.49,49.89,110.87,13.15
E01000452,52.96,4.5,40.86,90.8,10.77
E01000453,53.92,4.58,41.61,92.45,10.96
E01000454,62.77,5.33,48.44,107.63,12.76
E01000455,65.88,5.59,50.84,112.96,13.39
E01000456,53.92,4.58,41.61,92.45,10.96
E01000457,76.62,6.51,59.12,131.38,15.58
E01000458,53.4,4.53,41.21,91.56,10.86
E01000459,68.14,5.79,52.58,116.84,13.85
E01000460,46.47,3.95,35.86,79.69,9.45
E01000461,57.51,4.88,44.38,98.61,11.69
E01000462,69.32,5.89,53.49,118.87,14.09
E01000463,47.25,4.01,36.46,81.02,9.61
E01000464,60.47,5.14,46.66,103.69,12.29
E01000465,64.92,5.51,50.09,111.31,13.2
E01000466,72.95,6.2,56.29,125.09,14.83
E01000467,73.58,6.25,56.78,126.17,14.96
E01000468,119.95,10.19,92.56,205.67,24.39
E01000469,69.8,5.93,53.87,119.69,14.19
E01000470,50.51,4.29,38.98,86.61,10.27
E01000471,46.37,7.21,45.82,89.7,8.66
E01000472,58.19,9.05,57.51,112.57,10.87
E01000473,70.1,10.9,69.28,135.62,13.1
E01000474,62.6,9.74,61.87,121.1,11.7
E01000475,61.01,9.49,60.3,118.03,11.4
E01000476,51.89,8.07,51.28,100.38,9.7
E01000477,68.3,10.62,67.51,132.14,12.76
E01000478,65.84,10.24,65.07,127.37,12.3
E01000479,48.47,7.54,47.9,93.76,9.06
E01000480,50.6,7.87,50.01,97.88,9.45
E01000481,46.13,7.17,45.59,89.23,8.62
E01000482,87.48,13.61,86.46,169.23,16.35
E01000483,54.86,8.53,54.22,106.13,10.25
E01000484,44.78,6.96,44.25,86.62,8.37
E01000485,40.54,6.31,40.07,78.43,7.58
E01000486,48.77,7.59,48.2,94.34,9.11
E01000487,59.24,9.21,58.55,114.6,11.07
E01000488,48.62,7.56,48.05,94.05,9.08
E01000489,45.02,7.0,44.49,87.08,8.41
E01000490,54.53,8.48,53.89,105.49,10.19
E01000491,58.01,9.02,57.33,112.22,10.84
E01000492,38.23,5.95,37.79,73.96,7.14
E01000493,45.8,7.12,45.26,88.59,8.56
E01000494,53.9,8.38,53.27,104.27,10.07
E01000495,47.09,7.32,46.54,91.09,8.8
E01000497,51.05,7.94,50.45,98.75,9.54
E01000498,48.17,7.49,47.6,93.18,9.0
E01000499,59.21,9.21,58.52,114.54,11.06
E01000501,56.21,8.74,55.55,108.74,10.5
E01000502,51.89,8.07,51.28,100.38,9.7
E01000503,60.11,9.35,59.41,116.29,11.23
E01000504,52.67,8.19,52.05,101.89,9.84
E01000505,50.93,7.92,50.33,98.52,9.52
E01000506,57.5,8.94,56.83,111.24,10.74
E01000507,50.9,7.92,50.3,98.46,9.51
E01000508,67.43,10.49,66.64,130.45,12.6
E01000509,42.25,6.57,41.76,81.74,7.9
E01000510,53.12,8.26,52.5,102.76,9.93
E01000511,48.2,7.5,47.63,93.24,9.01
E01000512,53.81,8.37,53.18,104.09,10.05
E01000513,46.37,7.21,45.82,89.7,8.66
E01000514,43.21,6.72,42.71,83.6,8.08
E01000515,56.51,8.79,55.85,109.32,10.56
E01000516,57.59,8.96,56.92,111.41,10.76
E01000517,43.55,6.77,43.04,84.24,8.14
E01000518,48.17,7.49,47.6,93.18,9.0
E01000519,58.1,9.04,57.42,112.4,10.86
E01000520,53.03,8.25,52.41,102.58,9.91
E01000521,67.61,10.52,66.82,130.8,12.63
E01000522,60.26,9.37,59.56,116.58,11.26
E01000523,79.29,12.33,78.36,153.38,14.82
E01000524,81.42,12.66,80.47,157.51,15.21
E01000525,61.04,9.5,60.33,118.09,11.41
E01000526,71.24,11.08,70.41,137.82,13.31
E01000527,64.07,9.97,63.32,123.95,11.97
E01000528,47.42,7.38,46.86,91.73,8.86
E01000530,50.66,7.88,50.07,98.0,9.47
E01000531,58.34,9.07,57.66,112.86,10.9
E01000532,44.99,7.0,44.46,87.03,8.41
E01000533,67.97,10.57,67.18,131.5,12.7
E01000534,47.48,7.39,46.92,91.84,8.87
E01000535,63.5,9.88,62.76,122.85,11.87
E01000536,46.79,7.28,46.24,90.51,8.74
E01000538,44.99,7.0,44.46,87.03,8.41
E01000539,46.97,7.31,46.42,90.86,8.78
E01000540,41.92,6.52,41.43,81.1,7.83
E01000541,42.49,6.61,42.0,82.21,7.94
E01000543,44.09,6.86,43.57,85.28,8.24
E01000544,50.66,7.88,50.07,98.0,9.47
E01000545,56.9,8.85,56.23,110.07,10.63
E01000546,50.15,7.8,49.56,97.01,9.37
E01000547,47.93,7.46,47.37,92.72,8.96
E01000548,63.74,9.92,63.0,123.31,11.91
E01000549,53.69,8.35,53.06,103.86,10.03
E01000550,58.1,9.04,57.42,112.4,10.86
E01000551,76.47,11.89,75.57,147.93,14.29
E01000552,45.68,7.1,45.14,88.36,8.54
E01000553,65.63,10.21,64.87,126.97,12.26
E01000554,60.56,9.42,59.85,117.16,11.32
E01000555,48.29,7.51,47.72,93.41,9.02
E01000556,65.72,10.22,64.95,127.14,12.28
E01000557,57.41,8.93,56.74,111.06,10.73
E01000558,46.7,7.26,46.15,90.34,8.73
E01000559,47.09,7.32,46.54,91.09,8.8
E01000560,49.64,7.72,49.06,96.02,9.28
E01000561,53.81,8.37,53.18,104.09,10.05
E01000562,43.03,6.69,42.53,83.25,8.04
E01000563,42.13,6.55,41.64,81.51,7.87
E01000564,49.94,7.77,49.35,96.61,9.33
E01000565,48.86,7.6,48.29,94.52,9.13
E01000566,44.75,6.96,44.22,86.56,8.36
E01000567,38.29,5.96,37.85,74.08,7.16
E01000568,93.57,14.56,92.48,181.02,17.49
E01000569,41.95,6.53,41.46,81.16,7.84
E01000570,49.13,7.64,48.55,95.04,9.18
E01000571,49.37,7.68,48.79,95.5,9.22
