LSOA Code,tot_cases_spring_2021,tot_cases_summer_2021
E01006820,26.3,245.88
E01006821,25.63,239.65
E01006822,26.56,248.28
E01006823,21.69,202.74
E01006824,21.16,197.79
E01006825,24.71,231.02
E01006826,19.84,185.49
E01006827,26.06,243.64
E01006828,34.98,327.04
E01006829,30.38,284.06
E01006830,26.15,244.44
E01006831,24.78,231.66
E01006832,29.27,273.68
E01006833,34.93,326.56
E01006834,20.68,193.32
E01006835,22.35,208.97
E01006836,23.87,223.19
E01006837,27.82,260.1
E01006838,24.3,227.19
E01006839,23.12,216.16
E01006840,25.1,234.7
E01006841,27.09,253.23
E01006842,27.09,253.23
E01006843,21.34,199.55
E01006844,26.9,251.47
E01006845,29.14,272.4
E01006846,23.28,217.6
E01006847,32.66,305.31
E01006848,22.56,210.89
E01006849,25.92,242.36
E01006850,27.87,260.58
E01006851,21.77,203.54
E01006852,21.34,199.55
E01006853,27.1,253.39
E01006854,25.19,235.49
E01006855,25.04,234.06
E01006856,26.01,243.16
E01006857,25.26,236.13
E01006858,24.66,230.54
E01006859,28.18,263.45
E01006860,27.58,257.86
E01006861,34.71,324.48
E01006862,34.98,327.04
E01006863,28.27,264.25
E01006864,33.17,310.11
E01006865,45.95,429.61
E01006866,29.84,278.95
E01006867,36.86,344.61
E01006868,25.84,241.57
E01006869,25.09,234.54
E01006870,22.35,208.97
E01006871,30.15,281.83
E01006872,27.86,260.42
E01006873,24.76,231.5
E01006874,22.87,213.77
E01006875,24.15,225.75
E01006876,23.48,219.52
E01006877,25.38,237.25
E01006878,23.43,219.04
E01006879,24.11,225.43
E01006880,24.92,232.94
E01006881,25.05,234.22
E01006882,20.2,188.84
E01006883,22.23,207.86
E01006884,23.6,220.64
E01006885,20.7,193.48
E01006886,21.45,200.51
E01006887,23.26,217.44
E01006888,20.7,193.48
E01006889,23.65,221.12
E01006890,23.86,223.03
E01006891,26.32,246.04
E01006892,23.38,218.56
E01006893,21.86,204.34
E01006894,22.81,213.29
E01006895,23.6,220.64
E01006896,23.87,223.19
E01006897,23.33,218.08
E01006898,27.48,256.9
E01006899,39.22,366.66
E01006900,48.57,454.05
E01006901,23.6,220.64
E01006903,24.27,226.87
E01006904,28.06,262.34
E01006905,22.1,206.58
E01006906,27.16,253.87
E01006907,23.72,221.76
E01006908,22.28,208.33
E01006909,23.05,215.52
E01006910,31.5,294.45
E01006911,24.52,229.26
E01006912,29.68,277.51
E01006913,23.07,215.68
E01006914,21.17,197.95
E01006915,25.55,238.85
E01006916,27.7,258.98
E01006917,29.72,277.83
E01006918,21.72,203.06
E01006919,30.04,280.87
E01006920,18.07,168.33
E01006921,14.81,137.94
E01006922,15.06,140.31
E01006923,17.13,159.57
E01006924,16.33,152.16
E01006925,19.01,177.09
E01006926,18.53,172.66
E01006927,19.43,181.0
E01006928,16.31,151.95
E01006929,16.27,151.54
E01006930,15.66,145.87
E01006931,16.98,158.13
E01006932,15.52,144.53
E01006933,15.81,147.31
E01006934,17.3,161.12
E01006935,18.62,173.48
E01006936,17.01,158.44
E01006937,14.41,134.23
E01006938,13.7,127.64
E01006939,16.02,149.27
E01006940,15.98,148.86
E01006941,17.93,166.99
E01006942,15.68,146.08
E01006943,13.78,128.36
E01006944,20.2,188.21
E01006945,18.3,170.49
E01006946,14.95,139.28
E01006947,15.47,144.12
E01006948,14.77,137.63
E01006949,17.38,161.94
E01006950,18.38,171.21
E01006951,17.06,158.95
E01006952,13.83,128.87
E01006953,16.22,151.13
E01006954,16.59,154.53
E01006955,16.8,156.48
E01006956,17.8,165.86
E01006957,16.68,155.35
E01006958,17.1,159.26
E01006959,16.36,152.36
E01006960,12.21,113.73
E01006961,17.63,164.21
E01006962,14.9,138.76
E01006963,17.41,162.15
E01006964,17.46,162.66
E01006965,15.27,142.27
E01006966,17.78,165.65
E01006967,17.4,162.05
E01006968,22.34,208.09
E01006969,18.5,172.35
E01006970,19.14,178.32
E01006971,17.62,164.11
E01006972,18.03,167.92
E01006973,17.78,165.65
E01006974,17.15,159.78
E01006976,16.63,154.94
E01006977,19.96,185.95
E01006978,14.33,133.51
E01006979,15.23,141.85
E01006980,15.52,144.53
E01006981,17.02,158.54
E01006982,14.03,130.73
E01006983,18.13,168.84
E01006984,15.63,145.56
E01006985,15.33,142.78
E01006986,14.32,133.41
E01006987,14.17,131.96
E01006988,16.06,149.58
E01006989,14.23,132.58
E01006990,13.56,126.3
E01006991,15.48,144.22
E01006992,12.22,113.83
E01006993,16.21,151.02
E01006994,19.21,178.94
E01006995,13.96,130.01
E01006996,20.51,191.1
E01006997,16.4,152.77
E01006998,18.67,173.89
E01006999,16.81,156.59
E01007000,14.95,139.28
E01007001,20.83,194.08
E01007002,17.76,165.44
E01007003,13.69,127.53
E01007004,14.82,138.04
E01007005,15.71,146.39
E01007006,15.85,147.62
E01007007,14.82,138.04
E01007008,14.49,134.95
E01007009,18.07,168.33
E01007010,16.26,151.43
E01007011,16.92,157.62
E01007012,14.39,134.02
E01007013,17.25,160.71
E01007014,16.86,157.1
E01007016,19.74,183.88
E01007017,18.52,172.55
E01007019,15.29,142.47
E01007020,15.26,142.16
E01007021,13.92,129.7
E01007022,15.22,141.75
E01007023,14.46,134.75
E01007024,13.23,123.21
E01007025,14.76,137.53
E01007026,13.25,123.41
E01007027,21.75,202.63
E01007028,15.49,144.33
E01007029,12.92,120.32
E01007030,16.93,157.72
E01007031,15.7,146.28
E01007032,15.22,141.75
E01007033,15.29,142.47
E01007034,14.11,131.45
E01007035,15.18,141.44
E01007036,13.72,127.84
E01007037,16.95,157.92
E01007038,15.42,143.61
E01007039,13.4,124.86
E01007040,20.53,191.2
E01007041,15.46,144.02
E01007042,13.93,129.8
E01007043,14.9,138.76
E01007044,15.68,146.08
E01007045,13.45,125.27
E01007046,18.68,174.0
E01007047,16.4,152.77
E01007048,19.01,177.09
E01007049,20.88,194.5
E01007050,14.13,131.66
E01007051,12.56,117.03
E01007052,15.4,143.5
E01007053,14.69,136.81
E01007054,14.84,138.25
E01007055,16.73,155.86
E01007056,18.67,173.89
E01007057,17.64,164.31
E01007058,15.18,141.44
E01007059,16.83,156.79
E01007060,16.58,154.42
E01007061,19.4,180.69
E01007062,16.11,150.1
E01007063,16.67,155.25
E01007064,14.7,136.91
E01007065,14.5,135.05
E01007066,16.48,153.49
E01007067,14.7,136.91
E01007068,13.08,121.87
E01007069,15.34,142.88
E01007070,15.58,145.15
E01007071,13.95,129.9
E01007072,15.21,141.65
E01007073,13.77,128.26
E01007074,15.16,141.24
E01007075,14.86,138.45
E01007076,17.77,165.55
E01007077,15.37,143.19
E01007078,17.06,158.95
E01007079,17.45,162.56
E01007080,15.36,143.09
E01007081,18.25,169.98
E01007082,13.98,130.21
E01007083,12.65,117.85
E01007084,14.39,134.02
E01007085,14.59,135.88
E01007086,12.64,117.75
E01007087,14.73,137.22
E01007088,14.02,130.63
E01007089,15.1,140.62
E01007090,13.77,128.26
E01007091,13.75,128.05
E01007092,12.76,118.88
E01007095,17.73,165.14
E01007096,14.13,131.66
E01007097,16.25,151.33
E01007098,15.98,148.86
E01007099,16.22,151.13
E01007100,13.95,129.9
E01007101,15.37,143.19
E01007102,16.77,156.17
E01007103,15.99,148.96
E01007104,15.64,145.67
E01007105,17.8,165.86
E01007106,18.4,171.42
E01007107,15.16,141.24
E01007108,17.47,162.77
E01007109,16.52,153.91
E01007110,8.78,135.0
E01007111,8.37,128.59
E01007112,8.25,126.85
E01007113,7.13,109.53
E01007114,8.06,123.85
E01007115,8.62,132.51
E01007116,8.37,128.59
E01007117,9.07,139.33
E01007118,8.86,136.17
E01007119,8.75,134.42
E01007120,8.13,124.93
E01007121,8.07,124.02
E01007122,8.1,124.43
E01007123,8.69,133.5
E01007124,8.77,134.75
E01007125,9.14,140.41
E01007126,11.27,173.21
E01007127,9.09,139.75
E01007128,9.2,141.33
E01007129,8.43,129.59
E01007130,9.83,151.15
E01007131,9.06,139.16
E01007133,6.75,103.79
E01007135,8.31,127.68
E01007136,8.69,133.5
E01007137,8.84,135.92
E01007138,9.15,140.66
E01007139,8.9,136.75
E01007140,13.78,211.74
E01007141,8.88,136.5
E01007142,11.22,172.37
E01007143,11.2,172.12
E01007144,7.59,116.61
E01007145,6.45,99.13
E01007146,8.34,128.18
E01007147,7.57,116.36
E01007148,8.68,133.42
E01007149,7.92,121.69
E01007150,7.7,118.36
E01007151,8.29,127.43
E01007152,8.89,136.58
E01007153,7.78,119.52
E01007154,7.93,121.94
E01007155,9.07,139.41
E01007156,8.0,122.93
E01007157,7.84,120.44
E01007158,8.42,129.34
E01007159,10.33,158.81
E01007160,8.7,133.75
E01007161,8.13,124.93
E01007162,8.09,124.35
E01007163,12.16,186.94
E01007164,10.11,155.31
E01007165,6.81,104.71
E01007166,7.57,116.36
E01007167,8.3,127.59
E01007168,9.44,145.16
E01007169,9.74,149.73
E01007170,8.59,132.01
E01007171,8.45,129.84
E01007172,7.86,120.77
E01007173,8.37,128.59
E01007174,9.52,146.24
E01007175,9.86,151.57
E01007176,8.38,128.76
E01007177,8.62,132.42
E01007178,8.48,130.34
E01007179,7.5,115.28
E01007180,8.23,126.43
E01007181,8.49,130.51
E01007182,8.39,129.01
E01007183,6.83,105.04
E01007184,7.76,119.19
E01007185,8.33,128.01
E01007186,8.24,126.6
E01007187,7.41,113.94
E01007188,7.96,122.35
E01007189,8.8,135.25
E01007190,8.37,128.59
E01007191,7.04,108.2
E01007192,7.11,109.28
E01007193,9.06,139.16
E01007194,8.56,131.59
E01007195,8.52,130.92
E01007196,8.75,134.42
E01007197,8.91,136.92
E01007198,9.69,148.99
E01007199,8.21,126.18
E01007200,9.16,140.83
E01007201,7.86,120.85
E01007202,7.92,121.77
E01007203,11.05,169.88
E01007204,9.57,147.07
E01007205,8.42,129.43
E01007206,10.36,159.22
E01007207,7.31,112.36
E01007208,9.35,143.66
E01007209,7.51,115.36
E01007210,10.57,162.39
E01007211,6.2,95.22
E01007212,8.0,123.02
E01007213,8.05,123.68
E01007214,8.62,132.42
E01007215,9.29,142.74
E01007216,8.77,134.84
E01007217,9.71,149.24
E01007218,7.82,120.19
E01007219,8.92,137.08
E01007220,7.32,112.45
E01007221,7.74,118.94
E01007222,8.52,130.92
E01007223,8.12,124.85
E01007224,7.64,117.36
E01007225,10.67,163.97
E01007226,8.67,133.25
E01007227,8.18,125.76
E01007228,7.87,120.94
E01007229,9.74,149.65
E01007230,6.87,105.54
E01007231,8.72,134.09
E01007232,8.52,131.01
E01007233,9.82,150.9
E01007234,7.99,122.77
E01007235,8.57,131.76
E01007236,7.21,110.78
E01007237,9.14,140.41
E01007238,8.63,132.59
E01007239,8.95,137.58
E01007240,9.1,139.83
E01007241,7.51,115.36
E01007242,8.71,133.92
E01007243,8.21,126.18
E01007244,12.08,185.69
E01007245,7.66,117.69
E01007246,7.94,122.1
E01007247,9.59,147.4
E01007248,8.84,135.92
E01007249,7.59,116.61
E01007250,6.65,102.21
E01007251,5.87,90.14
E01007252,7.22,110.95
E01007253,3.92,60.18
E01007254,14.53,223.31
E01007255,8.52,131.01
E01007256,8.45,129.84
E01007257,7.45,114.53
E01007258,7.67,117.94
E01007259,6.32,97.13
E01007260,8.45,129.84
E01007261,6.97,107.12
E01007262,8.13,124.93
E01007263,7.52,115.53
E01007264,7.33,112.61
E01007265,7.31,112.28
E01007266,8.17,125.51
E01007267,7.93,121.85
E01007268,6.96,107.04
E01007269,9.27,142.41
E01007270,9.43,144.99
E01007271,8.88,136.5
E01007272,8.44,129.76
E01007273,7.78,119.52
E01007274,8.09,124.35
E01007275,8.13,124.93
E01007276,8.35,128.26
E01007277,8.14,125.1
E01007278,8.03,123.35
E01007279,8.97,137.83
E01007280,9.06,139.16
E01007281,7.24,111.2
E01007282,7.46,114.61
E01007283,6.5,99.88
E01007284,9.01,138.42
E01007285,8.04,123.6
E01007286,8.09,124.27
E01007287,9.74,149.65
E01007288,8.53,131.09
E01007289,8.97,137.92
E01007290,10.48,161.14
E01007291,9.46,145.32
E01007292,8.61,132.26
E01007293,8.03,123.43
E01007294,8.25,126.76
E01007295,8.4,129.09
E01007296,8.8,135.25
E01007297,8.41,129.18
E01007298,8.46,130.01
E01007299,7.25,111.36
E01007300,12.29,188.85
E01007301,8.85,136.08
E01007302,9.88,151.82
E01007303,7.66,117.77
E01007304,8.05,123.77
E01007305,8.66,133.09
E01007306,8.5,130.67
E01007307,9.41,144.57
E01007308,8.05,123.68
E01007309,7.98,122.68
E01007310,7.27,111.7
E01007311,7.63,117.27
E01007312,7.58,116.53
E01007313,8.68,133.42
E01007314,8.08,124.18
E01007315,8.36,128.51
E01007316,7.67,117.94
E01007317,49.09,196.85
E01007318,54.86,220.0
E01007319,49.46,198.32
E01007320,62.3,249.84
E01007321,48.62,194.98
E01007322,78.19,313.54
E01007323,56.76,227.63
E01007324,59.73,239.54
E01007325,55.33,221.87
E01007326,55.43,222.28
E01007327,55.8,223.75
E01007328,66.31,265.9
E01007329,53.63,215.05
E01007330,59.47,238.47
E01007331,59.43,238.33
E01007332,84.39,338.43
E01007333,50.79,203.67
E01007334,43.18,173.16
E01007335,49.36,197.92
E01007336,58.57,234.86
E01007337,67.18,269.38
E01007338,50.56,202.74
E01007339,56.33,225.89
E01007340,73.45,294.54
E01007341,44.45,178.25
E01007342,46.39,186.01
E01007343,47.25,189.49
E01007344,89.4,358.51
E01007345,51.86,207.96
E01007346,54.46,218.4
E01007347,56.8,227.76
E01007348,48.99,196.45
E01007349,54.19,217.32
E01007350,37.74,151.35
E01007351,51.89,208.09
E01007352,52.26,209.56
E01007353,58.0,232.58
E01007354,55.16,221.21
E01007355,49.16,197.12
E01007356,48.75,195.51
E01007357,44.35,177.85
E01007358,47.82,191.76
E01007359,49.12,196.98
E01007360,51.09,204.88
E01007361,59.9,240.21
E01007362,67.21,269.51
E01007363,54.43,218.26
E01007364,48.85,195.91
E01007365,39.44,158.18
E01007366,74.25,297.75
E01007367,40.25,161.39
E01007368,56.73,227.49
E01007369,62.24,249.58
E01007370,53.93,216.25
E01007371,66.67,267.37
E01007372,51.19,205.28
E01007373,56.23,225.49
E01007374,45.65,183.07
E01007375,58.06,232.85
E01007376,45.85,183.87
E01007377,42.25,169.42
E01007378,53.29,213.71
E01007379,49.89,200.06
E01007380,56.3,225.76
E01007381,65.04,260.82
E01007382,51.46,206.35
E01007383,44.18,177.18
E01007384,58.03,232.71
E01007385,46.79,187.62
E01007386,60.27,241.68
E01007387,47.99,192.43
E01007388,59.5,238.6
E01007389,45.35,181.86
E01007390,48.62,194.98
E01007391,51.99,208.49
E01007392,53.46,214.38
E01007393,60.77,243.69
E01007394,46.62,186.95
E01007395,71.98,288.65
E01007396,54.23,217.46
E01007397,48.39,194.04
E01007398,52.46,210.37
E01007399,68.11,273.13
E01007400,76.15,305.38
E01007402,66.47,266.57
E01007403,52.49,210.5
E01007404,42.91,172.09
E01007405,62.87,252.12
E01007406,59.1,237.0
E01007408,52.26,209.56
E01007409,53.86,215.99
E01007410,57.56,230.84
E01007411,53.43,214.25
E01007413,49.05,196.72
E01007414,79.59,319.16
E01007415,49.89,200.06
E01007416,46.79,187.62
E01007417,64.41,258.27
E01007418,43.92,176.11
E01007419,53.79,215.72
E01007420,46.22,185.34
E01007421,48.22,193.37
E01007422,53.89,216.12
E01007423,56.53,226.69
E01007424,64.24,257.6
E01007425,60.23,241.55
E01007426,62.77,251.72
E01007427,57.43,230.31
E01007428,51.12,205.01
E01007429,49.36,197.92
E01007430,96.61,387.41
E01007431,46.65,187.08
E01007432,56.4,226.16
E01007433,56.96,228.43
E01007434,85.0,340.84
E01007435,54.19,217.32
E01007436,45.65,183.07
E01007437,50.16,201.13
E01007438,47.05,188.69
E01007439,44.25,177.45
E01007440,49.79,199.66
E01007441,56.83,227.9
E01007442,48.75,195.51
E01007443,78.99,316.75
E01007444,75.85,304.17
E01007445,51.39,206.08
E01007446,43.92,176.11
E01007447,59.1,237.0
E01007448,77.35,310.2
E01007449,62.14,249.17
E01007450,67.11,269.11
E01007451,62.87,252.12
E01007452,56.4,226.16
E01007453,55.23,221.47
E01007455,43.08,172.76
E01007456,58.23,233.52
E01007457,60.73,243.55
E01007458,48.85,195.91
E01007459,49.72,199.39
E01007460,48.99,196.45
E01007461,54.76,219.6
E01007462,55.16,221.21
E01007463,59.77,239.67
E01007464,32.88,150.41
E01007465,41.12,188.06
E01007466,43.89,200.75
E01007467,35.75,163.51
E01007468,28.0,128.04
E01007469,29.84,136.47
E01007470,30.5,139.49
E01007471,31.22,142.81
E01007472,34.52,157.9
E01007473,32.32,147.81
E01007474,27.18,124.3
E01007475,32.93,150.62
E01007476,40.41,184.84
E01007477,30.97,141.67
E01007478,36.52,167.05
E01007479,33.25,152.07
E01007480,34.89,159.56
E01007482,30.45,139.28
E01007483,30.02,137.3
E01007484,29.36,134.29
E01007485,31.47,143.96
E01007486,29.06,132.93
E01007487,34.66,158.52
E01007488,39.3,179.74
E01007489,43.21,197.63
E01007490,37.34,170.8
E01007491,38.57,176.41
E01007492,38.48,176.0
E01007493,39.14,179.01
E01007494,36.91,168.82
E01007495,40.78,186.5
E01007496,36.91,168.82
E01007497,30.41,139.07
E01007498,36.34,166.22
E01007499,35.59,162.79
E01007500,30.75,140.63
E01007501,28.79,131.68
E01007502,83.89,383.72
E01007503,35.09,160.5
E01007504,32.79,149.99
E01007505,35.89,164.14
E01007506,39.05,178.6
E01007507,30.59,139.9
E01007508,36.27,165.91
E01007509,37.89,173.29
E01007510,34.52,157.9
E01007511,36.55,167.15
E01007512,46.89,214.48
E01007513,33.79,154.57
E01007514,34.98,159.98
E01007515,34.36,157.17
E01007516,30.88,141.25
E01007517,35.25,161.23
E01007518,32.84,150.2
E01007519,29.2,133.56
E01007520,29.97,137.09
E01007521,33.64,153.84
E01007522,36.98,169.13
E01007523,32.27,147.6
E01007524,36.48,166.84
E01007525,33.57,153.53
E01007526,48.78,223.12
E01007527,61.38,280.74
E01007528,31.72,145.1
E01007529,62.02,283.65
E01007530,41.05,187.75
E01007531,40.8,186.61
E01007532,46.3,211.78
E01007533,34.18,156.34
E01007534,55.58,254.22
E01007535,36.43,166.63
E01007536,44.82,205.02
E01007537,37.89,173.29
E01007538,33.86,154.88
E01007539,33.23,151.97
E01007540,37.3,170.59
E01007541,34.0,155.5
E01007542,44.46,203.35
E01007543,33.13,151.55
E01007544,39.91,182.55
E01007545,31.09,142.19
E01007546,30.84,141.05
E01007547,34.61,158.31
E01007548,38.32,175.27
E01007549,31.77,145.31
E01007550,37.87,173.19
E01007551,39.66,181.4
E01007552,30.86,141.15
E01007553,39.18,179.22
E01007554,35.89,164.14
E01007555,31.79,145.42
E01007556,30.91,141.36
E01007557,71.39,326.51
E01007558,32.41,148.22
E01007559,28.77,131.58
E01007560,34.25,156.65
E01007561,32.11,146.87
E01007562,30.52,139.59
E01007563,32.68,149.47
E01007564,36.91,168.82
E01007565,32.93,150.62
E01007566,40.3,184.32
E01007567,33.41,152.8
E01007568,36.84,168.51
E01007569,37.68,172.36
E01007570,32.32,147.81
E01007571,38.14,174.44
E01007572,30.75,140.63
E01007573,36.05,164.87
E01007574,35.39,161.85
E01007575,29.63,135.53
E01007576,32.7,149.58
E01007577,30.43,139.17
E01007578,34.0,155.5
E01007579,58.01,265.35
E01007580,27.93,127.73
E01007581,32.52,148.74
E01007582,31.13,142.4
E01007583,32.36,148.02
E01007584,34.04,155.71
E01007585,36.52,167.05
E01007586,32.75,149.78
E01007587,36.18,165.49
E01007588,37.55,171.73
E01007589,34.77,159.04
E01007590,26.08,119.31
E01007591,31.2,142.71
E01007592,41.0,187.54
E01007593,36.66,167.67
E01007594,45.14,206.47
E01007595,33.66,153.94
E01007596,26.72,122.22
E01007597,36.41,166.53
E01007598,33.0,150.93
E01007599,39.82,182.13
E01007600,30.27,138.45
E01007601,34.09,155.92
E01007602,41.71,190.77
E01007603,35.39,161.85
E01007604,31.02,141.88
E01007605,33.64,153.84
E01007606,45.01,205.85
E01007607,34.59,158.21
E01007608,63.56,290.73
E01007609,53.47,244.54
E01007610,40.89,187.02
E01007611,29.45,134.7
E01007612,29.81,136.37
E01007613,37.39,171.0
E01007614,32.16,147.08
E01007615,29.43,134.6
E01007616,26.15,119.62
E01007617,33.93,155.19
E01007618,25.83,118.16
E01007619,41.39,189.31
E01007620,35.64,162.99
E01007621,30.31,138.65
E01007622,33.11,151.45
E01007623,27.22,124.51
E01007624,41.3,188.89
E01007625,32.43,148.33
E01007626,33.25,152.07
E01007627,40.0,182.97
E01007628,34.54,158.0
E01007629,37.64,172.15
E01007630,29.86,136.57
E01007631,25.83,118.16
E01007632,36.8,168.3
E01007633,31.04,141.98
E01007634,38.84,177.66
E01007635,40.89,187.02
E01007636,34.73,158.83
E01007637,35.89,164.14
E01007638,35.68,163.2
E01007639,47.1,215.42
E01007640,35.93,164.35
E01007641,34.34,157.06
E01007642,36.32,166.11
E01007643,41.05,187.75
E01007644,40.03,183.07
E01007645,66.45,303.94
E01007646,36.73,167.99
E01007647,36.82,168.4
E01007648,51.28,234.56
E01007649,33.25,152.07
E01007650,36.77,168.19
E01007651,44.1,201.69
E01007652,48.1,219.99
E01007653,37.59,171.94
E01007654,37.66,172.25
E01007655,55.56,254.11
E01007656,39.14,179.01
E01007657,38.7,144.5
E01007658,38.89,145.21
E01007659,29.77,111.14
E01007660,31.7,118.34
E01007661,37.73,140.85
E01007662,29.17,108.9
E01007663,40.33,150.58
E01007664,49.62,185.26
E01007665,97.67,364.64
E01007666,34.9,130.3
E01007667,38.4,143.38
E01007668,45.09,168.33
E01007669,40.03,149.47
E01007670,39.36,146.93
E01007671,53.42,199.46
E01007672,38.57,143.99
E01007673,41.26,154.03
E01007674,56.85,212.23
E01007675,52.2,194.89
E01007676,42.64,159.2
E01007677,48.37,180.6
E01007678,43.86,163.76
E01007679,55.95,208.89
E01007680,54.81,204.63
E01007681,32.76,122.29
E01007682,37.29,139.22
E01007683,36.59,136.59
E01007684,49.02,183.03
E01007685,33.76,126.04
E01007686,36.61,136.69
E01007687,39.27,146.63
E01007688,38.54,143.89
E01007689,39.9,148.96
E01007690,44.3,165.39
E01007691,54.81,204.63
E01007692,37.35,139.43
E01007693,107.56,401.55
E01007694,49.08,183.23
E01007695,73.9,275.91
E01007696,37.43,139.73
E01007697,43.97,164.17
E01007698,39.52,147.54
E01007699,66.19,247.11
E01007700,54.62,203.92
E01007701,43.19,161.23
E01007702,48.4,180.7
E01007703,31.48,117.52
E01007704,40.85,152.51
E01007705,40.44,150.99
E01007706,36.99,138.11
E01007707,38.79,144.8
E01007708,45.9,171.37
E01007709,39.17,146.22
E01007710,42.02,156.87
E01007711,46.28,172.79
E01007712,54.05,201.79
E01007713,43.32,161.73
E01007714,72.3,269.93
E01007715,64.07,239.21
E01007716,55.9,208.68
E01007717,49.62,185.26
E01007718,41.12,153.52
E01007719,33.71,125.84
E01007720,40.71,152.0
E01007721,41.53,155.04
E01007723,38.08,142.16
E01007724,37.83,141.25
E01007725,32.81,122.49
E01007726,41.99,156.77
E01007727,39.49,147.44
E01007728,30.01,112.05
E01007729,41.88,156.36
E01007730,36.26,135.37
E01007731,31.61,118.03
E01007732,36.04,134.56
E01007733,35.72,133.34
E01007734,48.05,179.38
E01007735,39.74,148.35
E01007736,44.11,164.68
E01007737,47.64,177.86
E01007738,40.66,151.8
E01007739,42.72,159.5
E01007740,40.41,150.89
E01007741,39.22,146.42
E01007742,39.38,147.03
E01007743,33.41,124.72
E01007744,41.99,156.77
E01007745,43.95,164.07
E01007746,38.51,143.79
E01007747,35.01,130.71
E01007748,38.4,143.38
E01007749,48.48,181.0
E01007750,38.98,145.51
E01007751,60.79,226.94
E01007752,38.6,144.09
E01007753,40.88,152.61
E01007754,35.31,131.82
E01007755,35.17,131.31
E01007756,38.08,142.16
E01007757,43.67,163.05
E01007758,39.19,146.32
E01007759,37.45,139.83
E01007760,46.36,173.09
E01007761,43.67,163.05
E01007762,38.49,143.69
E01007763,42.78,159.71
E01007764,48.45,180.9
E01007765,40.09,149.67
E01007766,40.9,152.71
E01007767,44.46,165.99
E01007768,60.95,227.54
E01007769,64.21,239.71
E01007770,47.75,178.26
E01007771,35.25,131.62
E01007772,38.49,143.69
E01007773,40.31,150.48
E01007774,38.87,145.11
E01007775,38.08,142.16
E01007776,42.29,157.88
E01007777,53.04,198.04
E01007778,37.32,139.33
E01007779,51.93,193.88
E01007780,38.32,143.08
E01007781,38.95,145.41
E01007782,39.93,149.06
E01007783,43.4,162.04
E01007784,48.43,180.8
E01007785,36.59,136.59
E01007786,28.3,105.66
E01007787,91.53,341.72
E01007788,40.69,151.9
E01007789,42.13,157.27
E01007790,48.54,181.2
E01007791,37.02,138.21
E01007792,33.35,124.52
E01007793,37.48,139.93
E01007794,36.45,136.08
E01007795,37.59,140.34
E01007796,31.53,117.73
E01007797,33.41,124.72
E01007798,37.48,139.93
E01007799,38.46,143.58
E01007800,42.04,156.97
E01007801,37.7,140.74
E01007802,34.9,130.3
E01007803,35.66,133.14
E01007804,36.4,135.88
E01007805,42.42,158.39
E01007806,36.86,137.6
E01007807,38.13,142.37
E01007808,36.91,137.8
E01007809,42.75,159.61
E01007810,73.58,274.7
E01007811,34.33,128.17
E01007812,34.39,128.37
E01007813,36.31,135.57
E01007814,27.05,101.0
E01007815,44.27,165.28
E01007816,42.8,159.81
E01007817,38.87,145.11
E01007818,43.54,162.55
E01007819,40.44,150.99
E01007820,49.43,184.55
E01007821,43.76,163.36
E01007822,49.24,183.84
E01007823,17.53,78.04
E01007824,13.59,60.51
E01007825,15.14,67.39
E01007826,14.39,64.09
E01007827,17.35,77.25
E01007828,18.01,80.18
E01007829,15.3,68.14
E01007830,14.44,64.28
E01007831,16.08,71.58
E01007832,16.1,71.67
E01007833,15.59,69.44
E01007834,16.78,74.7
E01007835,14.73,65.58
E01007836,16.82,74.88
E01007838,15.59,69.44
E01007839,16.67,74.23
E01007841,15.62,69.53
E01007842,15.98,71.16
E01007843,17.49,77.86
E01007846,14.87,66.23
E01007847,12.82,57.07
E01007848,19.22,85.58
E01007849,23.72,105.62
E01007850,15.05,67.02
E01007851,14.46,64.37
E01007852,15.66,69.72
E01007853,18.7,83.25
E01007854,17.66,78.65
E01007855,23.97,106.74
E01007856,12.76,56.84
E01007857,17.37,77.35
E01007858,16.11,71.72
E01007859,20.14,89.67
E01007860,17.76,79.07
E01007861,16.7,74.37
E01007862,53.52,238.32
E01007863,17.29,76.97
E01007864,22.13,98.55
E01007865,18.17,80.93
E01007866,16.64,74.09
E01007867,19.88,88.51
E01007868,12.46,55.49
E01007869,18.45,82.14
E01007870,20.69,92.14
E01007871,20.92,93.16
E01007872,18.13,80.74
E01007873,24.12,107.39
E01007874,22.91,102.0
E01007875,21.83,97.21
E01007877,15.79,70.32
E01007878,18.54,82.56
E01007879,16.08,71.58
E01007881,16.53,73.63
E01007882,16.57,73.77
E01007883,18.62,82.93
E01007885,20.63,91.86
E01007886,16.88,75.16
E01007887,14.34,63.86
E01007888,13.26,59.02
E01007889,27.48,122.37
E01007890,13.7,61.02
E01007891,15.61,69.49
E01007892,15.79,70.32
E01007893,14.95,66.56
E01007894,14.0,62.32
E01007895,14.22,63.3
E01007896,12.09,53.81
E01007897,13.37,59.53
E01007898,14.53,64.7
E01007899,14.18,63.16
E01007900,17.65,78.6
E01007901,15.98,71.16
E01007902,18.93,84.28
E01007903,18.47,82.23
E01007904,19.56,87.11
E01007905,22.69,101.02
E01007906,29.76,132.51
E01007907,17.92,79.81
E01007908,15.11,67.3
E01007909,25.15,112.0
E01007910,18.36,81.76
E01007911,13.65,60.79
E01007912,14.86,66.18
E01007913,18.21,81.07
E01007914,18.39,81.9
