LSOA Code,tot_cases_spring_2021,tot_cases_summer_2021
E01000252,9.39,80.73
E01000253,9.61,82.68
E01000254,9.0,77.44
E01000255,8.16,70.2
E01000256,10.41,89.5
E01000257,11.03,94.83
E01000258,10.61,91.26
E01000259,15.43,132.72
E01000260,12.46,107.18
E01000261,9.69,83.35
E01000262,18.21,156.6
E01000263,8.75,75.3
E01000264,10.14,87.21
E01000265,11.82,101.7
E01000266,8.05,69.2
E01000267,8.85,76.11
E01000268,12.76,109.75
E01000269,7.96,68.48
E01000270,8.32,71.58
E01000271,8.77,75.39
E01000272,8.08,69.48
E01000273,9.14,78.63
E01000274,11.21,96.41
E01000275,9.69,83.3
E01000276,8.77,75.39
E01000277,11.94,102.7
E01000278,9.24,79.44
E01000279,7.98,68.62
E01000280,7.26,62.48
E01000281,8.9,76.58
E01000282,10.16,87.4
E01000283,8.11,69.72
E01000284,10.0,85.97
E01000285,7.69,66.1
E01000286,9.55,82.11
E01000287,8.77,75.39
E01000288,8.68,74.68
E01000289,9.15,78.73
E01000290,8.94,76.87
E01000291,8.75,75.3
E01000292,9.03,77.63
E01000293,9.8,84.25
E01000294,10.29,88.5
E01000295,9.8,84.3
E01000296,10.3,88.59
E01000297,8.61,74.06
E01000298,11.12,95.64
E01000299,12.65,108.8
E01000300,9.77,84.02
E01000301,9.02,77.58
E01000302,11.41,98.17
E01000303,9.85,84.73
E01000304,9.25,79.54
E01000305,9.34,80.35
E01000306,9.39,80.78
E01000307,9.59,82.49
E01000308,12.08,103.89
E01000309,11.26,96.88
E01000310,12.41,106.75
E01000311,10.54,90.69
E01000312,10.06,86.54
E01000313,12.66,108.89
E01000314,11.81,101.55
E01000315,9.66,83.11
E01000316,14.01,120.47
E01000317,10.09,86.78
E01000318,10.51,90.35
E01000319,8.74,75.15
E01000320,10.58,91.02
E01000321,10.54,90.69
E01000322,10.33,88.83
E01000323,13.76,118.33
E01000324,10.26,88.21
E01000325,14.78,127.35
E01000326,12.23,105.41
E01000327,14.88,128.2
E01000328,13.29,114.56
E01000329,14.83,127.81
E01000330,14.59,125.72
E01000331,15.73,135.56
E01000332,14.35,123.63
E01000333,17.29,148.97
E01000334,14.99,129.13
E01000335,24.65,212.38
E01000336,19.2,165.48
E01000337,16.07,138.43
E01000338,17.97,154.86
E01000339,14.14,121.85
E01000340,13.33,114.87
E01000341,14.06,121.15
E01000342,14.57,125.57
E01000343,14.08,121.3
E01000344,14.28,123.01
E01000345,11.93,102.78
E01000346,14.76,127.19
E01000347,13.33,114.87
E01000348,13.84,119.29
E01000349,14.73,126.96
E01000350,13.73,118.28
E01000351,14.67,126.42
E01000352,15.49,133.47
E01000353,15.13,130.37
E01000354,13.62,117.35
E01000355,14.24,122.7
E01000356,14.21,122.47
E01000357,13.2,113.71
E01000358,15.31,131.92
E01000359,11.14,95.96
E01000360,17.55,151.22
E01000361,14.58,125.64
E01000362,14.85,127.97
E01000363,14.21,122.47
E01000364,15.17,130.76
E01000365,16.52,142.31
E01000366,15.45,133.16
E01000367,19.75,170.21
E01000368,14.88,128.2
E01000369,15.53,133.86
E01000370,14.44,124.4
E01000371,14.53,125.18
E01000372,14.55,125.41
E01000373,12.89,111.07
E01000374,14.99,129.21
E01000375,19.45,167.58
E01000376,14.61,125.88
E01000377,13.29,114.56
E01000378,26.99,232.61
E01000379,16.34,140.76
E01000380,15.7,135.25
E01000381,15.44,133.01
E01000382,13.86,119.44
E01000383,13.74,118.36
E01000384,15.4,132.7
E01000385,18.07,155.72
E01000386,13.55,116.73
E01000387,14.42,124.25
E01000388,13.81,118.98
E01000389,15.93,137.27
E01000390,11.59,99.91
E01000391,15.7,135.25
E01000392,19.37,166.88
E01000393,15.57,134.17
E01000394,14.96,128.9
E01000395,13.8,118.9
E01000396,12.22,105.34
E01000398,14.69,126.57
E01000399,14.3,123.24
E01000400,14.32,123.4
E01000401,16.22,139.75
E01000402,14.31,123.32
E01000403,21.03,181.22
E01000404,22.78,196.26
E01000405,14.12,121.69
E01000406,18.6,160.29
E01000407,15.27,131.61
E01000408,16.88,145.49
E01000409,15.74,135.64
E01000410,14.98,129.05
E01000411,13.14,113.24
E01000412,16.35,140.91
E01000413,12.3,105.96
E01000414,17.95,154.71
E01000415,13.05,112.47
E01000416,15.72,135.49
E01000417,16.41,141.38
E01000418,18.9,162.85
E01000419,12.25,105.57
E01000420,13.9,119.75
E01000421,13.38,115.33
E01000422,13.82,119.06
E01000423,14.72,126.81
E01000424,15.03,129.52
E01000425,15.63,134.71
E01000426,14.41,124.17
E01000427,19.92,171.61
E01000428,16.78,144.63
E01000429,15.76,135.8
E01000430,20.53,176.88
E01000431,12.75,109.83
E01000432,23.68,204.08
E01000433,18.57,160.06
E01000434,15.98,137.66
E01000435,13.17,113.47
E01000436,16.11,138.82
E01000437,12.07,104.02
E01000438,15.48,133.39
E01000439,12.58,108.44
E01000440,12.75,109.83
E01000441,15.43,132.93
E01000442,14.68,126.5
E01000443,11.89,102.47
E01000444,15.01,129.36
E01000445,14.64,126.11
E01000446,14.26,122.85
E01000447,17.13,147.58
E01000448,11.85,102.08
E01000449,13.06,112.54
E01000450,16.72,144.09
E01000451,15.71,135.33
E01000452,12.86,110.84
E01000453,13.1,112.85
E01000454,15.25,131.38
E01000455,16.0,137.89
E01000456,13.1,112.85
E01000457,18.61,160.37
E01000458,12.97,111.77
E01000459,16.55,142.62
E01000460,11.29,97.27
E01000461,13.97,120.37
E01000462,16.84,145.1
E01000463,11.48,98.9
E01000464,14.69,126.57
E01000465,15.77,135.87
E01000466,17.72,152.69
E01000467,17.87,154.01
E01000468,29.14,251.05
E01000469,16.96,146.11
E01000470,12.27,105.72
E01000471,15.67,94.86
E01000472,19.66,119.05
E01000473,23.69,143.43
E01000474,21.15,128.08
E01000475,20.62,124.83
E01000476,17.53,106.16
E01000477,23.08,139.75
E01000478,22.25,134.71
E01000479,16.38,99.16
E01000480,17.1,103.52
E01000481,15.59,94.37
E01000482,29.56,178.98
E01000483,18.54,112.24
E01000484,15.13,91.61
E01000485,13.7,82.95
E01000486,16.48,99.78
E01000487,20.02,121.2
E01000488,16.43,99.47
E01000489,15.21,92.1
E01000490,18.43,111.56
E01000491,19.6,118.69
E01000492,12.92,78.22
E01000493,15.48,93.7
E01000494,18.21,110.27
E01000495,15.91,96.34
E01000497,17.25,104.44
E01000498,16.28,98.55
E01000499,20.01,121.14
E01000501,18.99,115.0
E01000502,17.53,106.16
E01000503,20.31,122.98
E01000504,17.8,107.76
E01000505,17.21,104.2
E01000506,19.43,117.64
E01000507,17.2,104.13
E01000508,22.79,137.97
E01000509,14.28,86.45
E01000510,17.95,108.68
E01000511,16.29,98.61
E01000512,18.18,110.09
E01000513,15.67,94.86
E01000514,14.6,88.42
E01000515,19.1,115.62
E01000516,19.46,117.83
E01000517,14.71,89.09
E01000518,16.28,98.55
E01000519,19.63,118.87
E01000520,17.92,108.49
E01000521,22.85,138.33
E01000522,20.36,123.29
E01000523,26.79,162.22
E01000524,27.51,166.58
E01000525,20.63,124.89
E01000526,24.08,145.76
E01000527,21.65,131.09
E01000528,16.02,97.01
E01000530,17.12,103.64
E01000531,19.71,119.36
E01000532,15.2,92.04
E01000533,22.97,139.07
E01000534,16.04,97.14
E01000535,21.46,129.92
E01000536,15.81,95.72
E01000538,15.2,92.04
E01000539,15.87,96.09
E01000540,14.17,85.78
E01000541,14.36,86.94
E01000543,14.9,90.2
E01000544,17.12,103.64
E01000545,19.23,116.41
E01000546,16.95,102.6
E01000547,16.2,98.06
E01000548,21.54,130.41
E01000549,18.14,109.84
E01000550,19.63,118.87
E01000551,25.84,156.45
E01000552,15.43,93.45
E01000553,22.18,134.28
E01000554,20.46,123.91
E01000555,16.32,98.79
E01000556,22.21,134.47
E01000557,19.4,117.46
E01000558,15.78,95.54
E01000559,15.91,96.34
E01000560,16.77,101.56
E01000561,18.18,110.09
E01000562,14.54,88.05
E01000563,14.24,86.21
E01000564,16.87,102.17
E01000565,16.51,99.96
